"grouPA120"	"grouPA299"	"grouPA65"	"grouPE232"	"grouPE258"	"grouPE32"	"grouPE64"	"grouPWT"
"m_A120_1"	1	0	0	0	0	0	0	0
"m_A120_2"	1	0	0	0	0	0	0	0
"m_A120_3"	1	0	0	0	0	0	0	0
"m_A120_4"	1	0	0	0	0	0	0	0
"m_A299_1"	0	1	0	0	0	0	0	0
"m_A299_2"	0	1	0	0	0	0	0	0
"m_A299_3"	0	1	0	0	0	0	0	0
"m_A299_4"	0	1	0	0	0	0	0	0
"m_A65_1"	0	0	1	0	0	0	0	0
"m_A65_2"	0	0	1	0	0	0	0	0
"m_A65_3"	0	0	1	0	0	0	0	0
"m_A65_4"	0	0	1	0	0	0	0	0
"m_E232_1"	0	0	0	1	0	0	0	0
"m_E232_2"	0	0	0	1	0	0	0	0
"m_E232_3"	0	0	0	1	0	0	0	0
"m_E232_4"	0	0	0	1	0	0	0	0
"m_E258_1"	0	0	0	0	1	0	0	0
"m_E258_2"	0	0	0	0	1	0	0	0
"m_E258_3"	0	0	0	0	1	0	0	0
"m_E258_4"	0	0	0	0	1	0	0	0
"m_E32_1"	0	0	0	0	0	1	0	0
"m_E32_2"	0	0	0	0	0	1	0	0
"m_E32_3"	0	0	0	0	0	1	0	0
"m_E32_4"	0	0	0	0	0	1	0	0
"m_E64_1"	0	0	0	0	0	0	1	0
"m_E64_2"	0	0	0	0	0	0	1	0
"m_E64_3"	0	0	0	0	0	0	1	0
"m_E64_4"	0	0	0	0	0	0	1	0
"m_WT_1"	0	0	0	0	0	0	0	1
"m_WT_2"	0	0	0	0	0	0	0	1
"m_WT_3"	0	0	0	0	0	0	0	1
"m_WT_4"	0	0	0	0	0	0	0	1
