"","x"
"1","""TRABD2B"""
"2","""RIMS2"""
"3","""ITGB8"""
"4","""ARHGEF38"""
"5","""FOXQ1"""
"6","""MTMR10"""
"7","""HLA-DRA"""
"8","""NAT1"""
"9","""DSC3"""
"10","""SIK2"""
"11","""MECOM"""
"12","""SYK"""
"13","""KRT5"""
"14","""ADAM28"""
"15","""MAN1A1"""
"16","""GAS6"""
"17","""CDKN1B"""
"18","""RAB3B"""
"19","""TMPRSS4"""
"20","""UST"""
"21","""L1CAM"""
"22","""LTBP2"""
"23","""HDAC9"""
"24","""LGMN"""
"25","""CAPN6"""
"26","""LLGL2"""
"27","""B3GNT7"""
"28","""MACC1"""
"29","""PCSK5"""
"30","""CLIC5"""
"31","""CA12"""
"32","""CALCRL"""
"33","""DAPP1"""
"34","""NOG"""
"35","""TP53I11"""
"36","""TTC9"""
"37","""VTCN1"""
"38","""ALOX5"""
"39","""PRR15L"""
"40","""NPM1P27"""
"41","""BDKRB2"""
"42","""ISLR"""
"43","""IGF1R"""
"44","""BMP1"""
"45","""CFH"""
"46","""TFAP2C"""
"47","""DCUN1D3"""
"48","""KCNS3"""
"49","""FOLR1"""
"50","""TNFSF9"""
"51","""ISM1"""
"52","""STEAP1"""
"53","""SLC37A1"""
"54","""DUSP10"""
"55","""C2orf54"""
"56","""CDH1"""
"57","""SCN9A"""
"58","""EPS8L1"""
"59","""FAM83E"""
"60","""YPEL5"""
"61","""PLEKHG1"""
"62","""GAB2"""
"63","""APBA2"""
"64","""MUC16"""
"65","""KRT9"""
"66","""CASP4"""
"67","""DNM3"""
"68","""MME"""
"69","""SBK1"""
"70","""PCDHB9"""
"71","""STEAP4"""
"72","""MGAT5B"""
"73","""DTX4"""
"74","""RPL12"""
"75","""ARL4C"""
"76","""RPL4"""
"77","""RBPMS"""
"78","""ATP6V0A4"""
"79","""TMEM167A"""
"80","""SCG2"""
"81","""SLC39A11"""
"82","""XDH"""
"83","""P3H1"""
"84","""TNNC1"""
"85","""ARHGEF2"""
"86","""YIPF1"""
"87","""IGSF8"""
"88","""RNF126"""
"89","""SIK3"""
"90","""LYPD6B"""
"91","""TRIM2"""
"92","""LMCD1"""
"93","""CSRNP3"""
"94","""ZFAND6"""
"95","""TMEM87B"""
"96","""SAMD9L"""
"97","""PLCB1"""
"98","""INHBB"""
"99","""SH3GLB1"""
"100","""DPYSL3"""
"101","""ANXA8"""
"102","""PVRL4"""
"103","""RPL5"""
"104","""ATAT1"""
"105","""RPL32"""
"106","""CLMN"""
"107","""CELSR2"""
"108","""RASGRP3"""
"109","""TLR3"""
"110","""RPS7"""
"111","""TIMM9"""
"112","""PDE3A"""
"113","""PA2G4"""
"114","""RPL22"""
"115","""RPL29"""
"116","""CNTNAP3"""
"117","""CCDC136"""
"118","""CMTM8"""
"119","""USH1C"""
"120","""TMSB4XP8"""
"121","""CREB5"""
"122","""FXN"""
"123","""LHFP"""
"124","""LYPD6"""
"125","""SGPP2"""
"126","""MFSD6"""
"127","""PRSS8"""
"128","""C4BPB"""
"129","""GABPB1-AS1"""
"130","""RPL24"""
"131","""PSMB1"""
"132","""FXYD3"""
"133","""GNB2L1"""
"134","""NABP1"""
"135","""PFDN4"""
"136","""FAM114A1"""
"137","""ASS1"""
"138","""ZNF720"""
"139","""MFNG"""
"140","""KRT80"""
"141","""PSMB9"""
"142","""TMEM57"""
"143","""RP11-366L20.2"""
"144","""TSPAN15"""
"145","""EPN3"""
"146","""SNX24"""
"147","""DOK7"""
"148","""ACTBL2"""
"149","""PVRL2"""
"150","""PPIA"""
"151","""DENND4A"""
"152","""ALPP"""
"153","""IFNLR1"""
"154","""BTF3"""
"155","""CNTNAP3B"""
"156","""FUCA1"""
"157","""RPS25"""
"158","""CCL28"""
"159","""STS"""
"160","""PTPN21"""
"161","""FZD1"""
"162","""ABCC2"""
"163","""ERBB2"""
"164","""MMP16"""
"165","""EPSTI1"""
"166","""MARCKS"""
"167","""RASD1"""
"168","""LCP1"""
"169","""DSG3"""
"170","""SH3BP1"""
"171","""METTL3"""
"172","""MX2"""
"173","""TRAPPC2L"""
"174","""ST6GALNAC5"""
"175","""ITGB1BP1"""
"176","""PLXNA1"""
"177","""SMPD1"""
"178","""ZNF250"""
"179","""PDLIM1"""
"180","""GAB1"""
"181","""TRIM72"""
"182","""TMEM50A"""
"183","""SEMA4F"""
"184","""TJP3"""
"185","""HEG1"""
"186","""PLPP5"""
"187","""MIR635"""
"188","""RPL34"""
"189","""MSLN"""
"190","""KRTAP5-1"""
"191","""SLC6A9"""
"192","""RILPL2"""
"193","""SEC31A"""
"194","""FXYD5"""
"195","""PLCD3"""
"196","""TUBA4A"""
"197","""ALDH1A2"""
"198","""NET1"""
"199","""SAA1"""
"200","""ADAM19"""
"201","""SLC20A1"""
"202","""RPL15"""
"203","""RPL9"""
"204","""CHCHD10"""
"205","""OXA1L"""
"206","""TMEM19"""
"207","""NMI"""
"208","""B2M"""
"209","""SUCLG1"""
"210","""C9orf152"""
"211","""RPS28P7"""
"212","""LTBP1"""
"213","""KLK10"""
"214","""PTPRM"""
"215","""SCN2A"""
"216","""AKR1C3"""
"217","""KLK5"""
"218","""DLG3"""
"219","""EHBP1"""
"220","""ARL6IP5"""
"221","""RIMKLB"""
"222","""ATG9B"""
"223","""BAIAP2"""
"224","""LRRC75A-AS1"""
"225","""ARL8A"""
"226","""GRAMD3"""
"227","""SCN3A"""
"228","""CAMK4"""
"229","""RP11-95D17.1"""
"230","""MYL6"""
"231","""TP63"""
"232","""FAM122A"""
"233","""ATP5G2"""
"234","""ZNF830"""
"235","""MRPL17"""
"236","""TMPRSS11E"""
"237","""SYAP1"""
"238","""FUT3"""
"239","""RPS8"""
"240","""TXN2"""
"241","""SLC12A4"""
"242","""TIMP2"""
"243","""INPP1"""
"244","""GPR143"""
"245","""DNAJB2"""
"246","""FAM83A"""
"247","""C1GALT1"""
"248","""DAB2"""
"249","""MANBA"""
"250","""SERPING1"""
"251","""CACNA2D2"""
"252","""SLC44A3"""
"253","""PRR3"""
"254","""NAV1"""
"255","""MVP"""
"256","""GRB7"""
"257","""PTPN9"""
"258","""PXDC1"""
"259","""GNG4"""
"260","""HECW1"""
"261","""LBH"""
"262","""CYHR1"""
"263","""GLIS3"""
"264","""ARHGEF1"""
"265","""SUMF1"""
"266","""RPS16"""
"267","""SH3GL1"""
"268","""RIN3"""
"269","""TXN"""
"270","""CDC42BPG"""
"271","""RPLP2"""
"272","""MRPL14"""
"273","""LGSN"""
"274","""CDHR3"""
"275","""RPL22L1"""
"276","""HEBP1"""
"277","""RASGRF1"""
"278","""FIBCD1"""
"279","""NUP43"""
"280","""HEY2"""
"281","""CDK7"""
"282","""CSRP1"""
"283","""ZNF480"""
"284","""ZNF214"""
"285","""KLHL15"""
"286","""PTGES"""
"287","""RABGGTB"""
"288","""SOX9"""
"289","""FGD2"""
"290","""HBE1"""
"291","""B3GNT3"""
"292","""SDCBP2"""
"293","""VDAC2"""
"294","""KCND3"""
"295","""RPS6"""
"296","""PROM1"""
"297","""MAST4"""
"298","""CLYBL"""
"299","""MKRN1"""
"300","""RPS15A"""
"301","""SYNPO"""
"302","""EDN1"""
"303","""PNN"""
"304","""PARP12"""
"305","""ATP5D"""
"306","""RPL9P9"""
"307","""FAM122B"""
"308","""MRPL21"""
"309","""PCTP"""
"310","""TACSTD2"""
"311","""TMPRSS13"""
"312","""LRAT"""
"313","""RNF149"""
"314","""LINC00886"""
"315","""LINC00346"""
"316","""SFXN2"""
"317","""BTBD19"""
"318","""SFXN1"""
"319","""TJP1"""
"320","""C11orf63"""
"321","""LRRC75A"""
"322","""COQ2"""
"323","""TXNL1"""
"324","""CINP"""
"325","""GPR87"""
"326","""PGM2L1"""
"327","""ARSB"""
"328","""FOSL2"""
"329","""FAM134B"""
"330","""GSN-AS1"""
"331","""TMEM159"""
"332","""FRK"""
"333","""TAF12"""
"334","""RPL36"""
"335","""RPL31"""
"336","""DOK4"""
"337","""VASH2"""
"338","""TRNP1"""
"339","""SMOC2"""
"340","""EFNA1"""
"341","""RP11-909N17.2"""
"342","""CTD-2619J13.19"""
"343","""COX5A"""
"344","""RSAD2"""
"345","""ULBP2"""
"346","""SERINC1"""
"347","""NTRK1"""
"348","""SHOC2"""
"349","""ZSCAN31"""
"350","""ATP5C1"""
"351","""KCNQ1"""
"352","""SKIDA1"""
"353","""ATP5L"""
"354","""CKMT1A"""
"355","""MNS1"""
"356","""ITPA"""
"357","""MROH3P"""
"358","""C14orf2"""
"359","""ZNF598"""
"360","""BLVRB"""
"361","""ARHGAP5"""
"362","""NDUFAF3"""
"363","""CD59"""
"364","""TLCD1"""
"365","""TMEM59"""
"366","""RPS11"""
"367","""LTV1"""
"368","""KLK8"""
"369","""HIBADH"""
"370","""PAK1"""
"371","""C15orf48"""
"372","""MAGOH"""
"373","""ZNF468"""
"374","""MACF1"""
"375","""KRR1"""
"376","""PGLYRP3"""
"377","""RP3-523K23.2"""
"378","""SNHG5"""
"379","""SMARCC2"""
"380","""UQCC1"""
"381","""PUSL1"""
"382","""RGS20"""
"383","""GALNT3"""
"384","""GBP2"""
"385","""RPL28"""
"386","""VEZF1"""
"387","""MACROD1"""
"388","""DYRK1B"""
"389","""SORT1"""
"390","""CHD3"""
"391","""PTPN23"""
"392","""LIG1"""
"393","""UQCRB"""
"394","""CAPN2"""
"395","""GGT7"""
"396","""FIRRE"""
"397","""S100A14"""
"398","""RP11-281P23.2"""
"399","""PRRG4"""
"400","""HMOX2"""
"401","""SHC1"""
"402","""GCNT2"""
"403","""SNORD14E"""
"404","""LGALS3BP"""
"405","""CNN3"""
"406","""CYTH1"""
"407","""PLEKHG3"""
"408","""SPP1"""
"409","""FRMD5"""
"410","""WBP1L"""
"411","""EIF4EBP1"""
"412","""NDUFS3"""
"413","""DNASE2"""
"414","""AL354822.1"""
"415","""NLK"""
"416","""DHRS7"""
"417","""POMP"""
"418","""PSME1"""
"419","""BAG1"""
"420","""HSD17B11"""
"421","""PICALM"""
"422","""HLA-DPB1"""
"423","""COMTD1"""
"424","""DYNLL1"""
"425","""NTNG2"""
"426","""SYNGR1"""
"427","""SCAF4"""
"428","""ITGB3BP"""
"429","""CXADR"""
"430","""ZNF248"""
"431","""KRTAP5-AS1"""
"432","""FAU"""
"433","""RBM47"""
"434","""RPL13P12"""
"435","""CNOT8"""
"436","""RNF224"""
"437","""CEMIP"""
"438","""SLC24A4"""
