"Name"	"Score"	"freq_up"
"TBC1D3"	"TBC1D3"	6.01970975077759e-09	3
"WFDC9"	"WFDC9"	9.40579648558998e-08	3
"LINC01060"	"LINC01060"	1.91153653613812e-07	3
"CTD-2015A6.2"	"CTD-2015A6.2"	2.96749395492035e-07	3
"CTA-384D8.35"	"CTA-384D8.35"	2.53956505110929e-06	3
"RP11-435O5.7"	"RP11-435O5.7"	6.64196937723757e-06	3
"RP11-10J18.3"	"RP11-10J18.3"	1.89919613114903e-05	3
"APOBEC1"	"APOBEC1"	1.94691069163193e-05	2
"KRT74"	"KRT74"	2.78690266239702e-05	3
"RP11-485G7.5"	"RP11-485G7.5"	2.95748340055702e-05	3
"KB-1615E4.2"	"KB-1615E4.2"	3.21745961541873e-05	3
"RP11-466G12.2"	"RP11-466G12.2"	3.8114544750767e-05	3
"LINC00303"	"LINC00303"	3.91539758367612e-05	3
"RP11-255E6.6"	"RP11-255E6.6"	4.57897025520351e-05	3
"KB-1615E4.3"	"KB-1615E4.3"	5.7086440363088e-05	3
"RP11-347C18.3"	"RP11-347C18.3"	6.85682563799509e-05	3
"RP5-907D15.4"	"RP5-907D15.4"	8.14948027370002e-05	3
"RP1-67K17.4"	"RP1-67K17.4"	8.67322010414162e-05	3
"CTD-2007H13.3"	"CTD-2007H13.3"	9.21893187517358e-05	3
"PAEP"	"PAEP"	0.000109924136141245	3
"KB-173C10.2"	"KB-173C10.2"	0.000114666914961139	2
"RP11-675F6.3"	"RP11-675F6.3"	0.000128535852453478	2
"RP11-499E14.1"	"RP11-499E14.1"	0.000162532163270994	3
"RP4-799D16.1"	"RP4-799D16.1"	0.000165256109802248	3
"CXCL13"	"CXCL13"	0.000170794967367656	3
"RP11-370I10.11"	"RP11-370I10.11"	0.000209715122071042	2
"DUSP15"	"DUSP15"	0.000213069103687183	3
"KRTAP3-2"	"KRTAP3-2"	0.000216330309313694	3
"AC097713.3"	"AC097713.3"	0.000228315551427492	2
"NCF1"	"NCF1"	0.000233136307783879	3
"RP11-334C17.6"	"RP11-334C17.6"	0.000265539652908596	3
"IL10"	"IL10"	0.000269315042076319	3
"RP11-1136G4.2"	"RP11-1136G4.2"	0.000288839970652966	2
"AC007950.2"	"AC007950.2"	0.000309055437971302	3
"SLC14A1"	"SLC14A1"	0.000380547350327294	3
"PSMC1P7"	"PSMC1P7"	0.000440699913130524	3
"PGK1P2"	"PGK1P2"	0.000451318736868949	3
"MIR1302-3"	"MIR1302-3"	0.000467564679380101	3
"RP11-426C22.8"	"RP11-426C22.8"	0.00047306538424806	3
"ITGB2-AS1"	"ITGB2-AS1"	0.000484815857681577	2
"CTA-363E6.1"	"CTA-363E6.1"	0.000506977920771545	3
"RP11-1055B8.4"	"RP11-1055B8.4"	0.000579588663070382	3
"LINC00936"	"LINC00936"	0.000686753319671429	3
"RP11-445P17.8"	"RP11-445P17.8"	0.000697446581579965	2
"RP11-4K3__A.3"	"RP11-4K3__A.3"	0.000752463718847198	3
"AC005754.8"	"AC005754.8"	0.000887768205403919	3
"RP11-48G14.3"	"RP11-48G14.3"	0.000921800411527726	3
"NUTF2P6"	"NUTF2P6"	0.000948365502134014	3
"RP11-677M14.2"	"RP11-677M14.2"	0.0009924519612549	3
"RP11-190A12.8"	"RP11-190A12.8"	0.00108572764253346	3
"RP11-725P16.2"	"RP11-725P16.2"	0.00110889421681907	2
"GJB1"	"GJB1"	0.00115438346339507	3
"RPS23P6"	"RPS23P6"	0.00123745791043014	3
"RP11-707G18.1"	"RP11-707G18.1"	0.00133303537822466	3
"CTD-2165H16.4"	"CTD-2165H16.4"	0.00140023490310003	3
"RP11-424M24.3"	"RP11-424M24.3"	0.00141164980558397	3
"ZNF781"	"ZNF781"	0.00141974854472089	2
"DOCK9-AS2"	"DOCK9-AS2"	0.00155350225929112	3
"ALB"	"ALB"	0.00166505520069341	2
"KRT6C"	"KRT6C"	0.00166505520069341	2
"C1orf234"	"C1orf234"	0.001837663103981	3
"RP11-432I5.2"	"RP11-432I5.2"	0.00187890589123226	3
