"Name"	"Score"	"freq_up"
"IGFL3"	"IGFL3"	1.03233932983629e-09	3
"RP11-645C24.4"	"RP11-645C24.4"	2.7856386003139e-08	3
"RP4-683M8.2"	"RP4-683M8.2"	2.7856386003139e-08	3
"RP11-330M19.1"	"RP11-330M19.1"	5.27444314017879e-07	3
"TRABD2B"	"TRABD2B"	5.27444314017879e-07	3
"ADRB3"	"ADRB3"	1.36990869872527e-06	3
"RPL12P41"	"RPL12P41"	1.7779772442979e-06	3
"SLC14A1"	"SLC14A1"	2.25985913928084e-06	3
"ALB"	"ALB"	3.45481857896683e-06	4
"IGFL2"	"IGFL2"	3.46946632356167e-06	3
"APOBEC1"	"APOBEC1"	3.46946632356167e-06	3
"GJA5"	"GJA5"	4.20937464600999e-06	3
"AC006262.4"	"AC006262.4"	5.98980241472371e-06	3
"AC097713.3"	"AC097713.3"	5.98980241472371e-06	3
"APOL6"	"APOL6"	7.10127688657736e-06	4
"APOL3"	"APOL3"	7.74644909906801e-06	4
"C4BPB"	"C4BPB"	8.21149357996776e-06	3
"RP11-725P16.2"	"RP11-725P16.2"	8.7954043389423e-06	4
"C8orf31"	"C8orf31"	9.50295318824153e-06	3
"AC006262.11"	"AC006262.11"	1.09228820360781e-05	3
"UNC93A"	"UNC93A"	1.09228820360781e-05	3
"RP11-1136G4.2"	"RP11-1136G4.2"	1.12091211821411e-05	4
"KB-1615E4.2"	"KB-1615E4.2"	1.2477315720378e-05	3
"CASP1"	"CASP1"	1.41722823820848e-05	3
"SAMD9L"	"SAMD9L"	1.68843618603988e-05	4
"GABRR1"	"GABRR1"	1.80078899217112e-05	3
"RP5-1024N4.2"	"RP5-1024N4.2"	1.80078899217112e-05	3
"TMPRSS2"	"TMPRSS2"	1.80078899217112e-05	3
"AC006262.10"	"AC006262.10"	2.49655733677905e-05	3
"KB-173C10.2"	"KB-173C10.2"	2.76299113201866e-05	3
"MME"	"MME"	3.047677046981e-05	3
"CA6"	"CA6"	3.35121193099514e-05	3
"RARRES3"	"RARRES3"	3.4395842473388e-05	4
"ANKRD1"	"ANKRD1"	4.76575204830287e-05	3
"LINC01487"	"LINC01487"	5.60157920254194e-05	3
"AC118754.4"	"AC118754.4"	6.05370602109677e-05	3
"KMO"	"KMO"	6.52942976189202e-05	3
"BRINP3"	"BRINP3"	6.52942976189202e-05	3
"KRT75"	"KRT75"	7.55402782048046e-05	3
"WFDC9"	"WFDC9"	8.68008554290401e-05	3
"SLC39A12"	"SLC39A12"	9.28263106750939e-05	3
"GPR1"	"GPR1"	9.91230316422876e-05	3
"AC069294.1"	"AC069294.1"	0.000106312174492553	4
"RP11-180I4.2"	"RP11-180I4.2"	0.000112553689899902	3
"CCR1"	"CCR1"	0.000134880344224808	3
"TNFSF10"	"TNFSF10"	0.000151286538085071	3
"SMOC1"	"SMOC1"	0.000178294629145409	3
"C6orf15"	"C6orf15"	0.000187960171894789	3
"AC009238.7"	"AC009238.7"	0.000197966768119464	3
"AC007193.6"	"AC007193.6"	0.00023009051219008	3
"PHOSPHO1"	"PHOSPHO1"	0.000241518919580978	3
"KRT5"	"KRT5"	0.00025331714179991	3
"CXCL13"	"CXCL13"	0.000265490908749554	3
"IGFL1"	"IGFL1"	0.000265490908749554	3
"GBP1"	"GBP1"	0.000279840304896313	4
"TMEM211"	"TMEM211"	0.000290987959171911	3
"CTA-363E6.1"	"CTA-363E6.1"	0.000304322665170196	3
"IGFL4"	"IGFL4"	0.000304322665170196	3
"SLC35F1"	"SLC35F1"	0.000326711379460863	4
"KRT6C"	"KRT6C"	0.000332192939135237	3
"CTD-2547L24.4"	"CTD-2547L24.4"	0.000332260493312603	4
"CCR3"	"CCR3"	0.000346739884891827	3
"KB-1615E4.3"	"KB-1615E4.3"	0.000409138786015389	3
"RP11-445P17.8"	"RP11-445P17.8"	0.000460517985467254	3
"KRT86"	"KRT86"	0.000478546843092363	3
"SAA1"	"SAA1"	0.000497036299273558	3
"LINC00303"	"LINC00303"	0.000515991964618216	3
"FN1"	"FN1"	0.000555324327947612	3
"AC004947.2"	"AC004947.2"	0.000575712209867313	3
"TRIM22"	"TRIM22"	0.000627462377024508	4
"HYAL4"	"HYAL4"	0.000662205203876032	3
"GNGT2"	"GNGT2"	0.000732419124667896	3
"LINC01060"	"LINC01060"	0.000781856347206525	3
"KRT74"	"KRT74"	0.000807379904486732	3
"JAKMIP2-AS1"	"JAKMIP2-AS1"	0.000833447436558161	3
"KRT81"	"KRT81"	0.000972136914705882	3
"TMEM200A"	"TMEM200A"	0.000981271653611449	4
"NOG"	"NOG"	0.00100158350869461	3
"RP11-150O12.6"	"RP11-150O12.6"	0.00103161241227563	3
"AC006262.5"	"AC006262.5"	0.00112524740905586	3
"RP5-1007F24.1"	"RP5-1007F24.1"	0.00112524740905586	3
"IL36G"	"IL36G"	0.00119068194327791	3
"RSAD2"	"RSAD2"	0.00124303355522234	4
"IGFL1P1"	"IGFL1P1"	0.00125857597888757	3
"AC019117.1"	"AC019117.1"	0.00136512303175465	3
"MUC19"	"MUC19"	0.0013676333106923	4
"SPNS2"	"SPNS2"	0.00151619608250124	3
"SMTNL1"	"SMTNL1"	0.00157180745101189	4
"SLC5A1"	"SLC5A1"	0.00159569056517732	3
"UNC5C"	"UNC5C"	0.00163644597394443	3
"APOL1"	"APOL1"	0.00167788058991632	4
"XAF1"	"XAF1"	0.00194078654904736	4
"DUSP27"	"DUSP27"	0.00198738600300794	3
"HLA-DPA1"	"HLA-DPA1"	0.00204783965343197	4
"ABI3"	"ABI3"	0.00208223053831553	3
"EPPIN"	"EPPIN"	0.00213074817640326	3
"RP11-48G14.3"	"RP11-48G14.3"	0.00225162351076923	4
"ENTPD8"	"ENTPD8"	0.00233224332688367	3
"SLC5A9"	"SLC5A9"	0.00243751870328076	3
"TMPRSS4"	"TMPRSS4"	0.00277195457218439	3
"RP11-702B10.2"	"RP11-702B10.2"	0.00283046207688344	3
"NTS"	"NTS"	0.00283046207688344	3
"RP11-351J23.2"	"RP11-351J23.2"	0.003010832994545	3
"RP11-640L9.2"	"RP11-640L9.2"	0.00307258985485431	3
"NDST3"	"NDST3"	0.00319858408463969	3
"RP11-845M18.6"	"RP11-845M18.6"	0.00326283165386445	3
"PLEKHS1"	"PLEKHS1"	0.00326283165386445	3
"PGLYRP3"	"PGLYRP3"	0.00332791964671646	3
"CD74"	"CD74"	0.00339385314443015	3
"KRTAP3-1"	"KRTAP3-1"	0.00352827694210064	3
"RP11-485G7.5"	"RP11-485G7.5"	0.00387948702249637	3
"ARHGEF38"	"ARHGEF38"	0.00387948702249637	3
"AC093159.1"	"AC093159.1"	0.00398828129986642	4
"RP11-335O4.3"	"RP11-335O4.3"	0.00402613705561537	3
"NCF4"	"NCF4"	0.00413429031291235	4
"JAKMIP2"	"JAKMIP2"	0.00424640030535654	4
"AC064875.2"	"AC064875.2"	0.00425284388816567	3
"LINC01605"	"LINC01605"	0.00464897244147449	3
"ADGRF1"	"ADGRF1"	0.00464897244147449	3
"BMP2"	"BMP2"	0.0048139390262082	3
"KRT14"	"KRT14"	0.00489783819821712	3
"AC005152.3"	"AC005152.3"	0.00489783819821712	3
"RP11-1017G21.6"	"RP11-1017G21.6"	0.00492536476914983	4
"RP11-67C2.2"	"RP11-67C2.2"	0.005183408544141	4
"ISLR"	"ISLR"	0.00524298890559869	3
"HAS2"	"HAS2"	0.00524298890559869	3
"PRR15L"	"PRR15L"	0.00533168961737792	3
"RP11-789C1.2"	"RP11-789C1.2"	0.00533168961737792	3
"RP11-380O24.1"	"RP11-380O24.1"	0.0053609825484496	4
"BDKRB1"	"BDKRB1"	0.00569629122561747	3
"STRA6"	"STRA6"	0.00607680428274378	3
"SAA2"	"SAA2"	0.00617445504472262	3
"VNN1"	"VNN1"	0.00627312445751623	3
"ZNF300"	"ZNF300"	0.00637281733394463	3
"IFI44L"	"IFI44L"	0.00641410975477856	2
"SERPINI2"	"SERPINI2"	0.00647353847937186	3
"CTA-363E6.2"	"CTA-363E6.2"	0.00647353847937186	3
"MX2"	"MX2"	0.00657529269170603	4
"AMBP"	"AMBP"	0.0066780847613993	3
"SLC26A9"	"SLC26A9"	0.0067819194714478	3
"GPR55"	"GPR55"	0.00699273590731559	3
"LINC00868"	"LINC00868"	0.00709972716184744	3
"RIN2"	"RIN2"	0.00731689950996888	3
"CMAHP"	"CMAHP"	0.00731689950996888	3
"CLDN11"	"CLDN11"	0.00734124442123542	4
"COL15A1"	"COL15A1"	0.00742709008753529	3
"KRT16"	"KRT16"	0.00765070370370197	3
"ATP6V0A4"	"ATP6V0A4"	0.00787865871962421	3
"KRT71"	"KRT71"	0.00858894794613899	3
"TPRXL"	"TPRXL"	0.00895918747447295	3
"TRANK1"	"TRANK1"	0.00900264646468824	4
"RP11-380L11.4"	"RP11-380L11.4"	0.00908486793865235	4
"APOLD1"	"APOLD1"	0.00933965756882377	3
"CABP1"	"CABP1"	0.0101317876998785	3
"SIGLEC15"	"SIGLEC15"	0.0101317876998785	3
"PLAC8"	"PLAC8"	0.010267906069045	3
"ABCA1"	"ABCA1"	0.0104052071014325	3
"CCL28"	"CCL28"	0.0105436953489024	3
"LINC00592"	"LINC00592"	0.0106833753558604	3
"TNC"	"TNC"	0.0108242516592562	3
"AC132008.1"	"AC132008.1"	0.0109312619100122	4
"CTSLP2"	"CTSLP2"	0.0112541036057263	3
"HAPLN1"	"HAPLN1"	0.0113998103152498	3
"AC019117.2"	"AC019117.2"	0.0121467166355018	3
"LINC01460"	"LINC01460"	0.0122998037951928	3
"RP4-799D16.1"	"RP4-799D16.1"	0.0127665573214644	3
"AC009238.8"	"AC009238.8"	0.0129246539793617	3
"DAPP1"	"DAPP1"	0.013244642080712	3
"TNFRSF1B"	"TNFRSF1B"	0.0144049079717243	3
"RP11-351J23.1"	"RP11-351J23.1"	0.014575837089022	3
"GRIK2"	"GRIK2"	0.0147480735033118	3
"ADAM23"	"ADAM23"	0.0148139658929193	4
"RP5-875H18.9"	"RP5-875H18.9"	0.0154501788804485	3
"RP11-697K23.3"	"RP11-697K23.3"	0.0154501788804485	3
"LINC00479"	"LINC00479"	0.0156290167770013	3
"AC097713.4"	"AC097713.4"	0.0157535999704098	2
"NKX3-2"	"NKX3-2"	0.0161735471149673	3
"RP11-259K15.2"	"RP11-259K15.2"	0.0163577437467353	3
"BMF"	"BMF"	0.0165432907709249	3
"SKINTL"	"SKINTL"	0.0165432907709249	3
"NRP1"	"NRP1"	0.0167312315198456	4
"COL25A1"	"COL25A1"	0.0171080768460951	3
"C3"	"C3"	0.0172990680507631	3
"SMOC2"	"SMOC2"	0.0180767917500881	3
"CDH11"	"CDH11"	0.0182746834954399	3
"KRT6B"	"KRT6B"	0.0186746494068848	3
"MEIS1"	"MEIS1"	0.0188767319534732	3
"RP11-116O18.3"	"RP11-116O18.3"	0.0188767319534732	3
"ACTBL2"	"ACTBL2"	0.0190802198018759	3
"SERPINF1"	"SERPINF1"	0.0190802198018759	3
"SFRP2"	"SFRP2"	0.0192559863646564	3
"NSG1"	"NSG1"	0.0194914280830989	3
"DKFZp434J0226"	"DKFZp434J0226"	0.0196991568367669	3
"RP11-60L3.1"	"RP11-60L3.1"	0.0196991568367669	3
"AC009237.17"	"AC009237.17"	0.0199083075339444	3
"IL32"	"IL32"	0.0205443326670928	3
"BMPER"	"BMPER"	0.0207431805925946	4
"SNAI2"	"SNAI2"	0.0207592124815876	3
"RP11-206P5.2"	"RP11-206P5.2"	0.0207592124815876	3
"NPPC"	"NPPC"	0.0209755348739519	3
"PCDHB9"	"PCDHB9"	0.021633198526023	3
"PARP10"	"PARP10"	0.0217533201760475	4
"TWIST2"	"TWIST2"	0.0223039926937105	3
"AC113617.1"	"AC113617.1"	0.0229880271920718	3
"C3orf14"	"C3orf14"	0.023218999880625	3
"PECAM1"	"PECAM1"	0.0236694970311651	3
"TRPM5"	"TRPM5"	0.0239208579328067	3
"C2orf54"	"C2orf54"	0.0241578039958168	3
"CTD-3220F14.3"	"CTD-3220F14.3"	0.0241578039958168	3
"CEACAM1"	"CEACAM1"	0.0243962534213828	3
"EEF1A1P10"	"EEF1A1P10"	0.0246362102021696	3
"PDLIM4"	"PDLIM4"	0.0251206617627849	3
"RBM22P2"	"RBM22P2"	0.0251489192161903	4
"DPEP2"	"DPEP2"	0.0253651644906631	3
"SLC1A2"	"SLC1A2"	0.0256101618161561	4
"RP11-10J18.3"	"RP11-10J18.3"	0.0260387674355803	2
"RBMS3"	"RBMS3"	0.0266106058957192	3
"PSMC1P7"	"PSMC1P7"	0.0266106058957192	3
"AC104809.4"	"AC104809.4"	0.0272637012409063	2
"AC107399.2"	"AC107399.2"	0.0273763546741088	3
"UBA7"	"UBA7"	0.0275212816124519	4
"RASD1"	"RASD1"	0.0276347084314293	3
"RAB9B"	"RAB9B"	0.0278862016216243	2
"RP11-283G6.4"	"RP11-283G6.4"	0.0278946207701206	3
"MMP16"	"MMP16"	0.0281560955784642	3
"DRD2"	"DRD2"	0.0281560955784642	3
"LINC01612"	"LINC01612"	0.0292176970130301	3
"FOXQ1"	"FOXQ1"	0.0292176970130301	3
"MYBPHL"	"MYBPHL"	0.0292176970130301	3
"H3F3BP1"	"H3F3BP1"	0.0292469774718396	4
"STEAP4"	"STEAP4"	0.0297579730955297	3
"RP11-738B7.1"	"RP11-738B7.1"	0.0298941889961686	4
"SLC12A5"	"SLC12A5"	0.0300304934370174	3
"HAS2-AS1"	"HAS2-AS1"	0.0300304934370174	3
"LINC00494"	"LINC00494"	0.0303866017977031	4
"RP11-1055B8.10"	"RP11-1055B8.10"	0.0304428189917897	2
"RP11-77P16.4"	"RP11-77P16.4"	0.0308850729088459	4
"ALOX5"	"ALOX5"	0.031220777141186	4
"RCAN2"	"RCAN2"	0.0314170710685057	3
"PRSS33"	"PRSS33"	0.0316992084234743	3
"ROR1"	"ROR1"	0.0319829619011592	3
"PLEKHG4B"	"PLEKHG4B"	0.0319829619011592	3
"CTD-2521M24.5"	"CTD-2521M24.5"	0.0319934407345848	2
"GLUD1P7"	"GLUD1P7"	0.0334700422664911	4
"PCDHB11"	"PCDHB11"	0.0337196323031461	3
"FAM26E"	"FAM26E"	0.0340148039626881	3
"LINC00112"	"LINC00112"	0.0340148039626881	3
"RP11-145M9.5"	"RP11-145M9.5"	0.035171565978137	2
"CD247"	"CD247"	0.0361273047116506	3
"RP1-90K10.4"	"RP1-90K10.4"	0.0361273047116506	3
"ROBO4"	"ROBO4"	0.0364357490277877	3
"NAT1"	"NAT1"	0.0364357490277877	3
"MAMDC2"	"MAMDC2"	0.0367458689949987	3
"PTGER2"	"PTGER2"	0.0373711505037739	3
"PTH1R"	"PTH1R"	0.0376863193372636	3
"BTBD16"	"BTBD16"	0.0376863193372636	3
"TNFSF18"	"TNFSF18"	0.0383690274119293	1
"C9orf152"	"C9orf152"	0.0386419817491199	3
"AC007743.1"	"AC007743.1"	0.0402688222181631	3
"SEC14L6"	"SEC14L6"	0.0405993331233041	3
"MAGI1-IT1"	"MAGI1-IT1"	0.0422777979278096	3
"NPM1P37"	"NPM1P37"	0.0426186977616225	3
"CD7"	"CD7"	0.0429613414573287	3
"KRT16P6"	"KRT16P6"	0.0433057325304119	3
"CTB-113P19.4"	"CTB-113P19.4"	0.0439997708333635	3
"HIF3A"	"HIF3A"	0.0443494250569192	3
"SLCO6A1"	"SLCO6A1"	0.045241089978239	4
"RP11-4K3__A.3"	"RP11-4K3__A.3"	0.0454089698214548	3
"CREB3L1"	"CREB3L1"	0.0454089698214548	3
"PCDHB14"	"PCDHB14"	0.0457656903434156	3
"MROH3P"	"MROH3P"	0.0464844605342099	3
"SHC4"	"SHC4"	0.0475759903014431	3
"RASSF6"	"RASSF6"	0.0475759903014431	3
"FGF9"	"FGF9"	0.0479434137969695	3
